latitude,longitude,name,address,tel,fax,website
1.836339,102.939944,HOSPITAL BATU PAHAT,"Jalan Korma Taman Soga, 83000, Batu Pahat, Johor",07-4363000,07-4322544,http://hbp.moh.gov.my
1.45852,103.74591,"HOSPITAL SULTANAH AMINAH, JOHOR BAHRU","Johor Bahru, 80100, Johor Bahru, Johor",07-2257000,07-2242694,http://hsajb.moh.gov.my
1.639183,103.622584,"HOSPITAL TEMENGGONG SERI MAHARAJA TUN IBRAHIM, KULAI","Kulai, 81000, Johor Bahru, Johor",07-6623333,07-6622605,
1.546984,103.790915,"HOSPITAL SULTAN ISMAIL, PANDAN","Jalan Persiaran Mutiara, Emas Utama, 81100, Johor Bahru, Johor",07-7565000,07-7565034,
2.038021,103.312343,HOSPITAL KLUANG,"Jalan Hospital, 86000, Kluang, Johor",07-7723333,07-7734498,hosp_kluang@moh.gov.my
1.736114,103.899403,HOSPITAL KOTA TINGGI,"Jalan Lombong, 81900, Kota Tinggi, Johor",07-8831131,07-8831333,http://hkotatinggi.moh.gov.my
2.429132,103.84569,HOSPITAL MERSING,"Jalan Ismail, 86800, Mersing, Johor",07-7993333,07-7994200,http://hospmersing.moh.gov.my
2.271817,102.547182,HOSPITAL TANGKAK,"Jalan Hospital,  Tangkak Muar, 84900, Muar, Johor",06-9782792,06-9786521,http://htgk.moh.gov.my
2.057237,102.574633,"HOSPITAL PAKAR SULTANAH FATIMAH, MUAR","Jalan Salleh, 84000, Muar, Johor",06-9521901,06-9526003,
1.4988,103.38598,HOSPITAL PONTIAN,"Jalan Alsagoff, 82000, Pontian, Johor",07-6873333,07-6876211,
2.50516,102.81534,HOSPITAL SEGAMAT,"KM 6 Jalan Genuang, 85000, Segamat, Johor",07-9433333,07-9434641,hospsg@moh.gov.my
5.678734,100.92521,HOSPITAL BALING,"Jalan Hospital, 9100, Baling, Kedah",04-4701333,04-4701160,http://hbaling.moh.gov.my
6.148404,100.406788,HOSPITAL SULTANAH BAHIYAH,"KM 6, Jalan Langgar, 5460, Alor Star, Kedah",04-7303333,04-7323770,http://hsb.moh.gov.my
