latitude,longitude,name,street address,tel
0.919361,110.540904,KLINIK KESIHATAN BUNAN GEGA,"Kampung Bunan Gega, 94750 Tebakang, Serian, Sarawak",082-895497
1.018313,111.554108,KLINIK KESIHATAN BATU LINTANG,"Kampung Batu Lintang (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Sri Aman, Sarawak",083-418347
1.022010,110.360910,KLINIK KESIHATAN TEBEDU,"Pekan Tebedu, 94750 Tebedu, Serian, Sarawak",082-797219
1.041780,111.836100,KLINIK KESIHATAN LUBOK ANTU,"Pekan Lubok Antu (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Lubok Antu, Sarawak",083-584105
1.051200,110.753100,KLINIK KESIHATAN BALAI RINGIN,"Kampung Ringin, 94700 Serian, Serian, Sarawak",082-877329
1.097088,110.502663,KLINIK KESIHATAN TEBAKANG,"Kampung Tekabang, 94750 Tekabang, Serian, Sarawak",082-875625
1.124570,110.625870,KLINIK KESIHATAN TRIBOH,"Kampung Triboh, 94700 Serian, Serian, Sarawak",082-870321
1.125829,111.861593,KLINIK KESIHATAN BATANG AI,"Batang Ai (D/A Peg. Kesihatan Bahagian Sri Aman Jalan Hospital), 95007 Sri Aman, Lubok Antu, Sarawak",083-322072
1.137979,111.638972,KLINIK KESIHATAN ENGKILILI,"Pekan Engkilili (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Lubok Antu, Sarawak",083-563004
1.142232,111.117207,KLINIK KESIHATAN PANTU,"Pekan Pantu (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Sri Aman, Sarawak",083-545228
1.159501,110.896675,KLINIK KESIHATAN KESINDU,"Kampung Kesindu, 94800 Kota Samarahan, Simunjan, Sarawak",082-896939
1.162600,110.259540,KLINIK KESIHATAN PADAWAN,"Jalan Puncak Borneo, 93250 Kuching, Kuching, Sarawak",082-617687/ 011-2108
1.176364,110.564067,KLINIK KESIHATAN PANGKALAN AMO,"Kampung Pengkalan Amo (D/A Pen. Peg. Perubatan Kanan, Hospital Serian, Jalan Serian Bypass), 94700 Serian, Serian, Sarawak",013-2680129
1.178780,111.751213,KLINIK KESIHATAN MERINDUN,"Merindun (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Lubok Antu, Sarawak",083-563474
1.207677,110.369081,KLINIK KESIHATAN TENG BUKAP,"Teng Bukap, KM 15 Jln Padawan, 93150 Kuching, Kuching, Sarawak",082-750530/ 011-2171
1.209143,110.530882,KLINIK KESIHATAN TARAT,"Pekan Tarat, 94700 Serian, Serian, Sarawak",082-876591
1.224768,112.018440,KLINIK KESIHATAN NANGA DELOK,"Nanga Delok, 95007 Sri Aman, Sri Aman, Sarawak",083-322176/ 083-3220
1.229621,111.783169,KLINIK KESIHATAN NANGA KESIT,"Nangka Kesit (D/A Peg. Kesihatan Bahagian Sri Aman Jalan Hospital), 95007 Sri Aman, Lubok Antu, Sarawak",011-221154
1.233230,111.462550,KLINIK KESIHATAN SRI AMAN,"Sri Aman, Jalan Hospital (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Sri Aman, Sarawak",083-327769
1.235412,110.691324,KLINIK KESIHATAN GEDONG,"Kampung Gedong, 94300 Kota Samarahan, Simunjan, Sarawak",082-781499
1.237969,110.910386,KLINIK KESIHATAN MUNGGU LALLANG,"Kampung Munggu Lallang, 94300 Kota Samarahan, Simunjan, Sarawak",082-895498
1.266167,111.027694,KLINIK KESIHATAN MENTU,"Kampung Mentu, 94300 Kota Samarahan, Simunjan, Sarawak",011-221276
1.280156,111.624530,KLINIK KESIHATAN SKRANG,"Kampung Skrang (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Sri Aman, Sarawak",011-9384832
1.303094,103.488896,KLINIK KESIHATAN SERKAT,"Jalan Serkat, 82030 Pontian, Pontian, Johor",07-6960359
1.303778,111.392637,KLINIK KESIHATAN TANJUNG BIJAT,"Kampung Tanjung Bilat, (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Sri Aman, Sarawak",083-309476
1.312990,111.943520,KLINIK KESIHATAN NANGA STAMANG,"Nanga Stamang (D/A Peg. Kesihatan Bahagian Sri Aman, Tingkat 3 Wisma Persekutuan, Jalan Hospital), 95007 Sri Aman, Sri Aman, Sarawak",083-322176
1.316243,110.286048,KLINIK KESIHATAN BUNUK,"Jalan Puncak Borneo, 93250 Kuching, Kuching, Sarawak",082-765963
1.329550,111.654110,KLINIK KESIHATAN NANGA LAWIH (MUJAU),"Nanga Lawih (D/A Pegawai Kesihatan Bahagian Betong), 95700 Betong, Betong, Sarawak",083-775503
1.335922,111.832770,KLINIK KESIHATAN NANGA PATOH,"Nanga Patoh (D/A Peg. Kesihatan Bahagian Sri Aman, Jalan Hospital), 95007 Sri Aman, Lubok Antu, Sarawak",083-432006
1.345330,110.538549,KLINIK KESIHATAN ENSENGEI,"Kampung Ensengei, 94700 Serian, Serian, Sarawak",082-895401
1.350095,104.223969,KLINIK KESIHATAN RENGIT,"TLO 52, Jalan Besar Rengit, 83500 Rengit, Batu Pahat, Johor",07-4241224
1.350100,104.223970,KLINIK KESIHATAN SUNGAI RENGIT,"Felda Bukit Waha, 81900 Tanjung Surat, Kota Tinggi, Johor",07-826 3285
1.352710,111.167600,KLINIK KESIHATAN LINGGA,"Kampung Lingga (D/A Peg. Kesihatan Bahagian, Bahagian Sri Aman Jalan Hospital, Sri Aman), 95007 Sri Aman, Sri Aman, Sarawak",083-496223
1.360840,110.404740,KLINIK KESIHATAN SIBURAN,"KM 27, Jalan Kuching/Serian, 93250 Kuching, Kuching, Sarawak",082-864202
1.365000,104.109440,KLINIK KESIHATAN PENGERANG,"Felda Lok Heng, 81900 Tanjung Surat, Kota Tinggi, Johor",07-8252455
1.365973,110.117797,KLINIK KESIHATAN KROKONG,"Jalan Bau Serikin, Kampung Krokong (D/A Pejabat Kesihatan Bahagian Kuching, Jln Tun Ahmad Zaidi Adruce), 94000 Bau, Bau, Sarawak",082-763116
1.378100,110.045720,KLINIK KESIHATAN SERASOT,"Kampung Serasot (D/A Peg. Kesihatan Bahagian Kuching Jalan Tun Ahmad Zaidi Adruce), 93250 Bau, Bau, Sarawak",082-371036
1.379188,103.589448,KLINIK KESIHATAN PAYA MENGKUANG,"JKR 4091 Jln Kelasi, Desa Paya Mengkuang, 81560 Gelang Patah, Johor Bahru, Johor",07-5080015
1.379300,103.441750,KLINIK KESIHATAN PENEROK,"Jln Kukup , 82300 Air Masin, Pontian, Johor",07-6960311
1.447719,103.590287,KLINIK KESIHATAN GELANG PATAH,"JKR 4176 Jalan Besar, 81550 Gelang Patah, Johor Bahru, Johor",07-5101252
1.453404,111.481332,KLINIK KESIHATAN SPAOH,"Kampung Spaoh, 95600 Spaoh, Betong, Sarawak",083-473339
1.456500,111.790157,KLINIK KESIHATAN NANGA ENTALAU,"Kampung Nanga Entalau (D/A Peg. Kesihatan Bahagian Sri Aman Jalan Hospital) , 95007 Sri Aman, Sri Aman, Sarawak",083-432009/ 083-3221
1.457880,110.489150,KLINIK KESIHATAN KOTA SAMARAHAN,"Jalan Datuk Muhamad Musa, 94300 Kota Samarahan, Samarahan, Sarawak",082-673626
1.462470,103.748420,KLINIK KESIHATAN MAHMOODIAH,"JKR 6274, Jalan Mahmoodiah, 80100 Johor Bahru, Johor Bahru, Johor",07-2266166
1.463943,103.906293,KLINIK KESIHATAN PASIR GUDANG,"JKR 5376, Jalan Kejiranan 8/1, 81700 Pasir Gudang, Johor Bahru, Johor",07-2510594
