Latitude,Longitude,state,Births_Per_10000_People,population
1.948424,103.473396,Johor,142,3756800
5.982475,100.664901,Kedah,138,2171800
5.346801,101.979464,Kelantan,95,1873100
2.301874,102.30943,Melaka,146,926600
2.782086,102.246249,Negeri Sembilan,144,1126600
3.580066,102.740679,Pahang,126,1669700
4.541805,101.062068,Perak,84,2507800
6.653935,100.274061,Perlis,938,259200
5.386393,100.253896,Pulau Pinang,315,958100
5.368437,100.450014,Pulau Pinang,47,809000
5.275299,117.108419,Sabah,126,3900900
2.651528,113.767892,Sarawak,128,2802200
3.280866,101.503325,Selangor,151,6501700
4.882101,103.141366,Terengganu,182,1237000
3.148164,101.691846,W.P. Kuala Lumpur,123,1785400
5.311329,115.219238,W.P. Labuan,206,99100
2.926003,101.688412,W.P. Putrajaya,374,100500
