Latitude,Longitude,state,Cases_Of_Hand_Foot_Mouth_Disease,Cases_Of_AIDS,Cases_Of_HIV,Cases_Of_Tuberculosis,Cases_Of_Malaria,Cases_Of_Dengue,Deaths_By_Dengue,Percent_Dengue_Mortality_Rate,Population
1.948424,103.473396,Johor,2306,178,347,2251,81,5115,23,0.45,3756800
5.982475,100.664901,Kedah,966,40,187,1417,16,810,6,0.74,2171800
5.346801,101.979464,Kelantan,587,144,136,1300,168,11291,15,0.13,1873100
2.301874,102.30943,Melaka,1118,112,113,639,2,2226,4,0.18,926600
2.782086,102.246249,Negeri Sembilan,923,29,112,631,36,2864,10,0.35,1126600
3.580066,102.740679,Pahang,485,104,127,936,85,1843,3,0.16,1669700
4.541805,101.062068,Perak,1676,50,154,1703,130,6180,19,0.31,2507800
6.653935,100.274061,Perlis,228,6,19,132,1,256,0,0,259200
5.386393,100.253896,Pulau Pinang ,1553,17,193,1347,9,2687,10,0.37,958100
5.368437,100.450014,Pulau Pinang ,1553,17,193,1347,9,2687,10,0.37,809000
5.275299,117.108419,Sabah,1927,116,211,5106,2004,1377,3,0.22,3900900
2.651528,113.767892,Sarawak,7229,167,226,2797,1442,2109,3,0.14,2802200
3.280866,101.503325,Selangor,7447,112,968,4916,105,43560,63,0.14,6501700
4.882101,103.141366,Terengganu,281,57,74,771,22,1501,2,0.13,1237000
3.148164,101.691846,W.P. Kuala Lumpur,2359,154,464,2085,12,5673,18,0.32,1785400
5.311329,115.219238,W.P. Labuan,274,3,16,137,1,11,0,0,99100
2.926003,101.688412,W.P. Putrajaya,n/a,n/a,n/a,n/a,n/a,5673,18,0.32,100500
