latitude	longitude	state	population	WHOIndex_HealthLevel	WHOIndex_HealthDistribution	WHO_OverallHealthIndex	"Doctors in public hospitals per 10,000 people"	"Doctors in private hospitals per 10,000 people"	"Doctors in hospitals per 10,000 people"	"Doctors in clinics per 10,000 people"	"All doctors per 10,000 people"	Population served per public hospital	Population served per private hospital	Population served by each hospital	People served per public clinic	People served per private clinic	People served by all clinics 	"Beds in public hospitals per 10,000 people"	"Nurses per 10,000 people"
1.948424	103.473396	Johor	3756800	0.873388042	0.585029032	0.864604269	6.1	4.0	10.1	2.0	12.1	313333.3	250666.7	139259.3	42727.3	5637.2	4980.13245	13.78989362	17.875
5.982475	100.664901	Kedah	2171800	0.856389215	0.690185754	0.886643742	9.9	2.7	12.7	1.6	14.2	242222.2	436000.0	155714.3	41923.1	7440.3	6318.84058	12.33486239	21.33027523
5.346801	101.979464	Kelantan	1873100	0.852872216	0.578840977	0.857928298	9.2	1.5	10.8	1.2	11.9	188000.0	376000.0	125333.3	35471.7	11058.8	8430.493274	13.7712766	18.5
2.301874	102.30943	Melaka	926600	0.877491208	0.992916673	0.96760197	12.6	5.7	18.4	2.1	20.5	310000.0	310000.0	155000.0	35769.2	5407.0	4696.969697	15.2688172	22.64516129
2.782086	102.246249	Negeri Sembilan	1126600	0.864595545	1.020079873	0.971168855	14.3	4.3	18.7	2.4	21.0	188333.3	282500.0	113000.0	29736.8	4870.7	4185.185185	16.15044248	23.15044248
3.580066	102.740679	Pahang	1669700	0.863423212	0.672527945	0.883987789	10.1	2.1	12.2	1.6	13.9	151818.2	167000.0	79523.8	26507.9	7990.4	6139.705882	13.86826347	24.13772455
4.541805	101.062068	Perak	2507800	0.86869871	0.805503145	0.918550464	10.1	4.2	14.4	2.3	16.6	167333.3	179285.7	86551.7	34383.6	5081.0	4426.80776	22.07968127	23.43027888
6.653935	100.274061	Perlis	259200	0.845838218	1.053357694	0.974798978	18.6	1.7	20.3	1.5	21.7	65000.0	260000.0	52000.0	28888.9	8965.5	6842.105263	15.69230769	34.34615385
5.386393	100.253896	Pulau Pinang (island)	958100	0.881008206	1.792494749	1.072873969	11.0	6.6	17.5	2.5	20.1	295000.0	295000.0	147500.0	68076.9	4234.4	3986.486486	12.03389831	20.01129944
5.368437	100.450014	Pulau Pinang (mainland)	809000	0.881008206	21.24438221	1.072873969	11.0	6.6	17.5	2.5	20.1	295000.0	295000.0	147500.0	68076.9	4234.4	3986.486486	12.03389831	20.01129944
5.275299	117.108419	Sabah	3900900	0.87045721	0.429835191	0.8250731	6.7	1.3	8.0	0.8	8.9	200000.0	800000.0	160000.0	51282.1	15564.2	11940.29851	12.0375	17.97
2.651528	113.767892	Sarawak	2802200	0.899765533	0.676035832	0.893950341	10.9	1.9	12.8	1.2	14.0	121739.1	280000.0	84848.5	14583.3	19047.6	8259.587021	14.20714286	20.25714286
3.280866	101.503325	Selangor	6501700	0.882766706	0.791556148	0.918580713	8.6	5.8	14.4	2.0	16.4	366666.7	146666.7	104761.9	117857.1	5259.0	5034.324943	8.38030303	13.20454545
4.882101	103.141366	Terengganu	1237000	0.847596717	0.716150923	0.89093691	11.3	2.1	13.4	1.4	14.8	206666.7	1240000.0	177142.9	32631.6	9051.1	7085.714286	13.26612903	23.12096774
3.148164	101.691846	W.P. Kuala Lumpur	1785400	0.9003517	1.617484977	1.129459169	16.0	13.8	29.8	3.6	33.4	298333.3	47105.3	40681.8	127857.1	2868.6	2805.642633	27.31843575	8.424581006
5.311329	115.219238	W.P. Labuan	99100	0.87045721	0.392632089	0.816984152	5.7	2.4	8.1	0.6	8.7	50000.0	100000.0	33333.3	100000.0	20000.0	16666.66667	12.2	22.8
2.926003	101.688412	W.P. Putrajaya	100500	0.882766706	19.7329573	5.658337647	9.4	0.0	9.4	0.8	10.2	100000.0	0.0	100000.0	25000.0	25000.0	12500	59.3	18.3
