latitude,longitude,name,address,tel,fax,web
1.836339,102.939944,HOSPITAL BATU PAHAT,"Jalan Korma Taman Soga, 83000, Batu Pahat, Johor",07-4363000,07-4322544,http://hbp.moh.gov.my
1.639183,103.622584,"HOSPITAL TEMENGGONG SERI MAHARAJA TUN IBRAHIM, KULAI","Kulai, 81000, Johor Bahru, Johor",07-6623333,07-6622605,n/a
2.038021,103.312343,HOSPITAL KLUANG,"Jalan Hospital, 86000, Kluang, Johor",07-7723333,07-7734498,hosp_kluang@moh.gov.my
1.736114,103.899403,HOSPITAL KOTA TINGGI,"Jalan Lombong, 81900, Kota Tinggi, Johor",07-8831131,07-8831333,http://hkotatinggi.moh.gov.my
2.429132,103.84569,HOSPITAL MERSING,"Jalan Ismail, 86800, Mersing, Johor",07-7993333,07-7994200,http://hospmersing.moh.gov.my
2.271817,102.547182,HOSPITAL TANGKAK,"Jalan Hospital,  Tangkak Muar, 84900, Muar, Johor",06-9782792,06-9786521,http://htgk.moh.gov.my
1.4988,103.38598,HOSPITAL PONTIAN,"Jalan Alsagoff, 82000, Pontian, Johor",07-6873333,07-6876211,n/a
5.678734,100.92521,HOSPITAL BALING,"Jalan Hospital, 9100, Baling, Kedah",04-4701333,04-4701160,http://hbaling.moh.gov.my
6.278285,100.419748,HOSPITAL JITRA,"Jalan Changlun, 6000, Jitra, Kedah",04-9174333,04-9176346,n/a
6.325404,99.796596,HOSPITAL LANGKAWI,"Bukit Teguh, 7000, Langkawi, Kedah",04-9663333,04-9660121,n/a
6.252255,100.609438,HOSPITAL KUALA NERANG,"Nerang, 6300, Kuala Nerang, Kedah",04-7867050,04-7867052,http://hknerang.moh.gov.my
5.811514,100.727299,HOSPITAL SIK,"Sik, 8200, Sik, Kedah",04-4695333,04-4695990,hsik@moh.gov.my
5.820893,100.384388,HOSPITAL YAN,"Yan, 6900, Yan, Kedah",04-4655333,04-4655960,http://.hyan.moh.gov.my
4.858255,101.954683,HOSPITAL GUA MUSANG,"Bandar Baru, 18300, Gua Musang, Kelantan",09-9133300,09-9121302,http://hogum.moh.gov.my
5.701156,101.844461,HOSPITAL JELI,"Hospital Jeli, 17600, Jeli, Kelantan",09-9443300,09-9440068,n/a
5.763276,102.224921,HOSPITAL MACHANG,"Jalan Pasir Puteh, 18500, Machang, Kelantan",09-9752533,09-9752470,n/a
6.014316,102.119101,HOSPITAL PASIR MAS,"Jalan Meranti, 17000, Pasir Mas, Kelantan",09-7909333,09-7900996,http://hmas.moh.gov.my
5.832866,102.387502,"HOSPITAL TENGKU ANIS, PASIR PUTEH","Jalan Pasir Puteh, 16800, Pasir Puteh, Kelantan",09-7866333,09-7868558,n/a
5.809696,102.152541,HOSPITAL TANAH MERAH,"Jalan Hospital, 17500, Tanah Merah, Kelantan",09-9557333,09-9557929,htm@klt.moh.gov.my
6.189896,102.157181,HOSPITAL TUMPAT,"Jalan Kelaburan, 16200, Tumpat, Kelantan",09-7257533,09-7257082,http://www.htumpat.moh.gov.my
