latitude,longitude,name,address,tel
2.057237,102.574633,Hospital Pakar Sultanah Fatimah,"Jalan Salleh, 84000, Muar, Johor",06-9521901
2.50516,102.81534,Hospital Segamat,"KM 6 Jalan Genuang, 85000, 85000, Segamat, Johor",07-9433333
1.546984,103.790915,Hospital Sultan Ismail,"Jalan Persiaran Mutiara Emas Utama, Taman Miount Austin, 81100, Johor Bahru, Johor",07-3565000
1.45852,103.74591,Hospital Sultanah Aminah,"Jalan Abu Bakar, 80000, Johor Bahru, Johor",07-2231666
1.837956,102.941036,Hospital Sultanah Nora Ismail,"Jalan Korma,83000 Batu Pahat, 83000, Batu Pahat, Johor",07-4363000
5.393173,100.573329,Hospital Kulim,"Jalan Mahang, Kulim, '09000, Kulim, Kedah",04-4272733
5.669613,100.516499,Hospital Sultan Abdul Halim,"Jalan Lencongan Timur Bandar Amanjaya, Sungai Petani, 08000, Sungai Petani, Kedah",04-4457333
6.148404,100.406788,Hospital Sultanah Bahiyah,"KM 6, Jln Langgar, Alor Setar, 6500, Alor Setar, Kedah",04-7406233
5.535636,102.199282,Hospital Kuala Krai,"Jalan Kota Bharu, 18000, Kuala Krai, Kelantan",09-9611300
6.125567,102.245691,Hospital Raja Perempuan Zainab II,"Jalan Hospital, 15200, Kota Bharu, Kelantan",09-7452000
2.218645,102.260403,Hospital Melaka,"Jalan Mufti Haji Khalil,  75400, Melaka, Melaka",06-2892344
2.733345,102.23188,Hospital Tuanku Ampuan Najihah,"KM 3 Jalan Melang, 72000, Kuala Pilah, Negeri Sembilan",06-4818001
2.709764,101.94472,Hospital Tuanku Ja'afar Seremban,"Jalan Rasah, 70300, Seremban, Negeri Sembilan",06-7684000
3.453936,102.451887,Hospital Sultan Hj Ahmad Shah,"Jalan Maran, 28000 , Temerloh, Pahang",09-2955333
3.80044,103.321634,Hospital Tengku Ampuan Afzan,"Jalan Air Putih, 25100 , Kuantan, Pahang",09-5572222
4.603431,101.090825,Hospital Raja Permaisuri Bainun,"Jalan Hospital, 30450, Ipoh, Perak",05-2087000
4.851042,100.736961,Hospital Taiping,"Jalan Taming Sari, 34000 , Taiping, Perak",05-8204000
4.004601,101.040124,Hospital Teluk Intan,"Jalan Changkat Jong, 36000, Teluk Intan, Perak",05-6298400
6.440995,100.191337,Hospital Tuanku Fauziah,"Jalan Kolam, 01000 Kangar, 1000, Kangar, Perlis",04-9738000
5.42021,100.30957,Hospital Pulau Pinang,"Jalan Residensi, 10990, Pulau Pinang, Pulau Pinang",04-2225333
5.394912,100.406509,Hospital Seberang Jaya,"Jln Tun Hussein Onn, Perai, 13700 , Perai, Pulau Pinang",04-3827333
5.858905,118.102986,Hospital Duchess Of Kent,"KM 3.2, Jalan Utara, 90000, Sandakan, Sabah",089-248600
5.956588,116.072735,Hospital Queen Elizabeth,"Karung Berkunci N0.2029, 88200 , Kota Kinabalu, Sabah",088-517555
5.966541,116.093798,Hospital Queen Elizabeth II,"Lorong Bersatu, Jalan Damai Luyang,, 88300, Kota Kinabalu, Sabah",088-324600
4.24924,117.879487,Hospital Tawau,"Peti Surat 80, 91007, Tawau, Sabah",089-983533
1.544093,110.339401,Hospital Umum Kuching,"Jalan Tun Ahmad Zaidi Adruce, 93586, Kuching, Sarawak",082-276666
3.128273,101.763378,Hospital Ampang,"Jalan Mewah Utara, 68000, Ampang, Selangor",03-42896000
2.993393,101.792729,Hospital Kajang,"Jalan Semenyih,  43000, Kajang, Selangor",03-89133333
3.243053,101.647198,Hospital Selayang,"Lebuhraya Selayang-Kepong, 68100 , Batu Caves, Selangor",03-61203233
2.976263,101.720189,Hospital Serdang,"Jalan Puchong, 43000 , Kajang, Selangor",03-89475555
3.220112,101.583028,Hospital Sungai Buloh,"Jalan Hospital,  47000, Sungai Buluh, Selangor",03-61454333
3.020082,101.439859,Hospital Tengku Ampuan Rahimah,"Jalan Langat,41200 Klang, 41200 , Klang, Selangor",03-33723333
3.071047,101.490136,Hospital Shah Alam,"Shah Alam, 40000, Shah Alam, Selangor",03-55263000
4.232059,103.420885,Hospital Kemaman,"Jalan Da' Omar, Cukai, 24000, Kemaman, Terengganu",09-8513333
5.324317,103.151292,Hospital Sultanah Nur Zahirah,"Jalan Sultan Mahmud, Kuala Terengganu, 20400 , Kuala Terengganu, Terengganu",09-6212121
3.171983,101.699818,Hospital Kuala Lumpur,"Jalan Pahang, 50586, Kuala Lumpur, WP Kuala Lumpur",03-26155555
2.929623,101.673299,Hospital Putrajaya,"Pusat Pentadbiran Kerajaan Persekutuan, presint 7, 62250 , Putrajaya, WP Putrajaya",03-83124200
