latitude,longitude,year,state,district,population
2.270582,102.64433,2018,Johor,Tangkak,155600
2.063168,102.574303,2018,Johor,Muar,281500
2.522995,102.847548,2018,Johor,Segamat,215900
2.055479,103.392588,2018,Johor,Kluang,342500
2.317293,103.784092,2018,Johor,Mersing,82500
1.93477,103.033958,2018,Johor,Batu Pahat,475700
1.752218,103.902486,2018,Johor,Kota Tinggi,224300
1.499923,103.419777,2018,Johor,Pontian,178100
1.656862,103.589463,2018,Johor,Kulai,287200
1.519797,103.719928,2018,Johor,Johor Bahru,1579500
6.372397,100.43702,2018,Kedah,Kubang Pasu,250500
6.365683,99.807569,2018,Kedah,Langkawi,109900
6.118518,100.386046,2018,Kedah,Kota Setar,412300
5.989382,100.556171,2018,Kedah,Pendang,108300
5.81133,100.395294,2018,Kedah,Yan,77700
5.685349,100.537421,2018,Kedah,Kuala Muda,514400
5.120807,100.557975,2018,Kedah,Bandar Baharu,47900
5.345196,100.56813,2018,Kedah,Kulim,325600
5.756314,100.904725,2018,Kedah,Baling,154100
5.894409,100.756733,2018,Kedah,Sik,77000
6.261332,100.703389,2018,Kedah,Padang Terap,71900
6.170031,102.140429,2018,Kelantan,Tumpat,187300
6.012021,102.099842,2018,Kelantan,Pasir Mas,231800
5.822203,102.046255,2018,Kelantan,Tanah Merah,149200
5.619556,101.856715,2018,Kelantan,Jeli,50800
4.864159,101.93135,2018,Kelantan,Gua Musang,113900
5.430975,102.232738,2018,Kelantan,Kuala Krai,135200
5.766116,102.234364,2018,Kelantan,Machang,113600
5.825122,102.386338,2018,Kelantan,Pasir Puteh,143100
5.981612,102.401529,2018,Kelantan,Bachok,162500
6.103722,102.299746,2018,Kelantan,Kota Bharu,596900
2.394523,102.229796,2018,Melaka,Alor Gajah,209000
2.228919,102.242351,2018,Melaka,Melaka Tengah,571300
2.293737,102.448336,2018,Melaka,Jasin,154400
3.041364,102.144629,2018,Negeri Sembilan,Jelebu,44800
2.708022,101.961003,2018,Negeri Sembilan,Seremban,619100
2.555441,101.834565,2018,Negeri Sembilan,Port Dickson,129300
2.566426,102.106663,2018,Negeri Sembilan,Rembau,48500
2.502271,102.270742,2018,Negeri Sembilan,Tampin,94700
2.859959,102.483413,2018,Negeri Sembilan,Jempol,130800
2.756507,102.249952,2018,Negeri Sembilan,Kuala Pilah,73800
4.352049,102.086697,2018,Pahang,Lipis,102400
4.486194,101.487485,2018,Pahang,Cameron Highlands,43200
3.873101,101.834158,2018,Pahang,Raub,106600
3.582771,102.762957,2018,Pahang,Maran,132500
3.450238,101.913382,2018,Pahang,Bentong,133700
3.443329,102.46266,2018,Pahang,Temerloh ,187300
3.146256,102.588771,2018,Pahang,Bera,110800
2.826975,103.108592,2018,Pahang,Rompin,133000
3.410182,103.238136,2018,Pahang,Pekan,127300
3.763257,103.267033,2018,Pahang,Kuantan,522300
3.957318,102.471508,2018,Pahang,Jerantut,103800
